normalization_type,group_key,kpi,mean,std
eu_long,all_years,gdp_growth,2.5765432098765433,3.6307261716812027
eu_long,all_years,inflation,2.702469135802469,3.4524716433246576
eu_long,all_years,unemployment,7.2966049382716065,3.8837624449613224
eu_long,all_years,gini,29.63765432098765,3.9193102228798025
eu_long,all_years,education,77.07808641975309,9.119515089082356
eu_long,all_years,rnd,1.6791975308641973,0.8921185543638941
eu_long,all_years,ict_specialists,4.41358024691358,1.4642914229242328
eu_long,all_years,renewables,23.634512345679013,12.336367283575221
eu_long,all_years,emissions,8.1,2.6967702274095813
eu_long,all_years,debt,68.50956790123458,37.994367365643804
eu_long,all_years,total_gov_expenditure,45.288271604938274,7.259902052256305
eu_long,all_years,defense_spending,1.2885802469135803,0.6026971034392454
eu_long,all_years,economic_affairs_spending,5.584567901234569,1.7002484243055414
eu_long,all_years,fuel_energy_spending,0.6141975308641975,0.5828686700770183
eu_long,all_years,communication_spending,0.03641975308641975,0.0536658308821657
eu_long,all_years,environment_spending,0.7589506172839505,0.3083163266940616
eu_long,all_years,health_spending,6.486728395061728,1.4838792479837424
eu_long,all_years,education_spending,4.941358024691358,0.9823926728561929
eu_long,all_years,social_protection_spending,16.799074074074074,4.228976309471949
eu_year,2014.0,gdp_growth,2.2518518518518515,2.349201234195666
eu_year,2015.0,gdp_growth,3.6666666666666665,4.604846944754558
eu_year,2016.0,gdp_growth,2.6037037037037036,1.2876578264673726
eu_year,2017.0,gdp_growth,4.062962962962963,2.7197494437975416
eu_year,2018.0,gdp_growth,3.403703703703704,1.9598825477919846
eu_year,2019.0,gdp_growth,2.937037037037037,1.4191406251531644
eu_year,2020.0,gdp_growth,-4.059259259259259,3.554332054447974
eu_year,2021.0,gdp_growth,7.4222222222222225,3.0144948975208914
eu_year,2022.0,gdp_growth,3.5925925925925926,2.6087022895163092
eu_year,2023.0,gdp_growth,1.0740740740740742,2.5719780763200966
eu_year,2024.0,gdp_growth,1.8,1.616977236888443
eu_year,2025.0,gdp_growth,2.162962962962963,2.3576631435757522
eu_year,2014.0,inflation,0.2777777777777778,0.6835052941854124
eu_year,2015.0,inflation,-0.06296296296296297,0.6469741096639793
eu_year,2016.0,inflation,0.13333333333333333,0.7211102550927978
eu_year,2017.0,inflation,1.7111111111111112,0.8196309363334646
eu_year,2018.0,inflation,1.8962962962962964,0.8220431775490785
eu_year,2019.0,inflation,1.6925925925925926,0.9445902351023496
eu_year,2020.0,inflation,0.688888888888889,1.292086366883878
eu_year,2021.0,inflation,2.837037037037037,1.1916853444235858
eu_year,2022.0,inflation,10.733333333333334,3.6978164034800525
eu_year,2023.0,inflation,6.940740740740741,3.3429902849969584
eu_year,2024.0,inflation,2.6333333333333333,1.1364587372793002
eu_year,2025.0,inflation,2.9481481481481477,1.2726019289297301
eu_year,2014.0,unemployment,10.84074074074074,5.3260794687201685
eu_year,2015.0,unemployment,9.988888888888889,4.857296916324277
eu_year,2016.0,unemployment,8.985185185185186,4.458932582141131
eu_year,2017.0,unemployment,7.874074074074074,4.0759701622476046
eu_year,2018.0,unemployment,6.818518518518518,3.6400588580445365
eu_year,2019.0,unemployment,6.207407407407407,3.3269211830767134
eu_year,2020.0,unemployment,7.018518518518518,3.231936432761806
eu_year,2021.0,unemployment,6.637037037037037,2.897498675668132
eu_year,2022.0,unemployment,5.766666666666667,2.5321015898929615
eu_year,2023.0,unemployment,5.766666666666667,2.2618916521694503
eu_year,2024.0,unemployment,5.811111111111111,2.168716978615083
eu_year,2025.0,unemployment,5.844444444444445,2.0774120981743187
eu_year,2014.0,gini,30.385185185185183,3.7997675742384054
eu_year,2015.0,gini,30.322222222222223,4.2437586146583754
