country,year,gdp_growth,inflation,unemployment,gini,education,rnd,ict_specialists,renewables,emissions,debt,defense_spending,economic_affairs_spending,fuel_energy_spending,communication_spending,environment_spending,health_spending,education_spending,social_protection_spending,total_gov_expenditure,period_label,is_pre_shock,is_covid_transition,is_energy_transition,country_name,period_order,is_latest_year,gdp_growth_eu_long_zscore,inflation_eu_long_zscore,unemployment_eu_long_zscore,gini_eu_long_zscore,education_eu_long_zscore,rnd_eu_long_zscore,ict_specialists_eu_long_zscore,renewables_eu_long_zscore,emissions_eu_long_zscore,debt_eu_long_zscore,total_gov_expenditure_eu_long_zscore,defense_spending_eu_long_zscore,economic_affairs_spending_eu_long_zscore,fuel_energy_spending_eu_long_zscore,communication_spending_eu_long_zscore,environment_spending_eu_long_zscore,health_spending_eu_long_zscore,education_spending_eu_long_zscore,social_protection_spending_eu_long_zscore,gdp_growth_eu_year_zscore,inflation_eu_year_zscore,unemployment_eu_year_zscore,gini_eu_year_zscore,education_eu_year_zscore,rnd_eu_year_zscore,ict_specialists_eu_year_zscore,renewables_eu_year_zscore,emissions_eu_year_zscore,debt_eu_year_zscore,total_gov_expenditure_eu_year_zscore,defense_spending_eu_year_zscore,economic_affairs_spending_eu_year_zscore,fuel_energy_spending_eu_year_zscore,communication_spending_eu_year_zscore,environment_spending_eu_year_zscore,health_spending_eu_year_zscore,education_spending_eu_year_zscore,social_protection_spending_eu_year_zscore,gdp_growth_country_zscore,inflation_country_zscore,unemployment_country_zscore,gini_country_zscore,education_country_zscore,rnd_country_zscore,ict_specialists_country_zscore,renewables_country_zscore,emissions_country_zscore,debt_country_zscore,total_gov_expenditure_country_zscore,defense_spending_country_zscore,economic_affairs_spending_country_zscore,fuel_energy_spending_country_zscore,communication_spending_country_zscore,environment_spending_country_zscore,health_spending_country_zscore,education_spending_country_zscore,social_protection_spending_country_zscore,is_core_archetype,is_secondary_archetype,is_archetype_or_reference,archetype_label,archetype_type
EE,2016,3.1,0.8,6.8,32.7,82.7,1.22,5.1,29.232,14.8,10.2,2.3,4.5,0.5,0.0,0.6,5.3,5.5,12.6,38.9,pre_shock_baseline,True,False,False,Estonia,1,False,0.144174130840903,-0.5510455500716094,-0.1278669705753726,0.7813481211911376,0.6164706703514663,-0.5147270266019949,0.4687726379736757,0.4537387324527492,2.484453414644738,-1.534689795992252,-0.8799390899430749,1.678155987999327,-0.6378879025737403,-0.1959232614940649,-0.6786395083752037,-0.5155439512020239,-0.7997472817779643,0.568654460425132,-0.9929292024334824,0.3854256046094648,0.9245003270420488,-0.4900691241525531,0.6668917324846133,0.7311760511240316,-0.3542793001001036,1.1083203178309076,0.7491526951243942,1.8904375227168355,-1.5478432220402625,-0.6608261867109558,2.3020751339083216,-0.1545397558373804,0.1562952681904101,-0.5245305283129621,-0.3264312746186864,-0.4647497189834237,0.6154587342996684,-0.962281740838086,0.3474446240604454,-0.6452318591505054,0.4661270506015257,0.4909522053765382,0.3920799766304391,-1.454860759062245,-0.659856189788949,-0.7942035034239947,0.9848686794264594,-0.8636335592801794,-0.7837969231762868,-0.1960732916346387,-0.8278795899070199,-0.2926433638548885,-0.5527707983925667,-1.0235326314383182,-0.9530826943562696,-1.2976427904451222,-0.3700988787832622,False,False,False,Other EU country,other
EE,2017,5.6,3.7,5.8,31.6,82.3,1.25,5.3,29.538,15.8,9.4,2.0,5.0,0.4,0.0,0.7,5.1,5.6,12.3,38.9,pre_shock_baseline,True,False,False,Estonia,1,False,0.832741618937197,0.288932384463245,-0.385349248178981,0.5006864900759178,0.572608689084625,-0.4810992090285885,0.6053574713401064,0.4785434414052309,2.8552673571290272,-1.5557455486068723,-0.8799390899430749,1.1803935161240309,-0.3438132292187435,-0.3674884958834623,-0.6786395083752037,-0.1912017372419155,-0.9345291383688932,0.6704467505785807,-1.0638683560362272,0.5651392044742536,2.4265663980254093,-0.5088540866379581,0.4119212699320326,0.6664130453551722,-0.3575843793289676,1.1315485009712358,0.7251595902777604,2.197260603806305,-1.507062396862376,-0.5414985822007632,1.5018054760954047,0.2309543797490748,-0.2253079504834564,-0.5245305283129622,0.0250222652862194,-0.5755900022659199,0.779465593531698,-0.957357671433672,1.0919688184756855,-0.1118810587125578,-0.6095507584789199,-0.1506883006601249,-0.3049510929348135,-1.3436612105988888,-0.4667275488751104,-0.7422840577310462,1.280329283254397,-0.9982258022848824,-0.7837969231762868,-0.6372381978125757,0.0919866211007796,-0.682834515661406,-0.5527707983925667,0.5117663157191591,-1.3280660495128347,-0.9981867618808644,-0.7117286130447346,False,False,False,Other EU country,other
EE,2018,3.7,3.4,5.4,30.6,82.1,1.38,5.4,29.97,15.1,8.5,2.0,4.2,0.3,0.0,0.7,5.3,6.1,12.5,38.8,pre_shock_baseline,True,False,False,Estonia,1,False,0.3094303279840136,0.2020381153734324,-0.4883421592204242,0.2455395526984454,0.5506776984512045,-0.3353786662104946,0.6736498880233222,0.5135618540440284,2.5956975973900245,-1.5794332702983205,-0.8937133804610747,1.1803935161240309,-0.8143327065867382,-0.5390537302728597,-0.6786395083752037,-0.1912017372419155,-0.7997472817779643,1.1794082013458262,-1.0165755869677306,0.1511806391817231,1.8292271559104665,-0.3896965883899347,0.2150928012028615,0.6054530052554838,-0.263876118871269,1.0586176669866003,0.7227089703711445,2.050009525674047,-1.4314346028436422,-0.6432508450150405,1.5347906996012497,-0.5935504596894678,-0.4134411111011424,-0.5805489101161391,-0.0971936300447712,-0.4946202347846218,1.2198909152577773,-0.873803304419736,0.5261304307201031,-0.1670552794475179,-1.0398218821110976,-0.7339978516025453,-0.6534666277174398,-0.8617965005910119,-0.3701632284181907,-0.6689860167527664,1.0735068605748403,-1.1496420756651735,-0.823482843337112,-0.6372381978125757,-1.3797993165116993,-1.0730256674679235,-0.5527707983925667,0.5117663157191591,-0.9530826943562696,0.4990933809404296,-0.4839754568704197,False,False,False,Other EU country,other
EE,2019,3.7,2.3,4.5,30.5,82.9,1.59,5.8,31.73,10.9,9.0,2.1,4.6,0.6,0.0,0.7,5.5,6.0,12.7,39.1,pre_shock_baseline,True,False,False,Estonia,1,False,0.3094303279840136,-0.1165742046225468,-0.7200762090636719,0.2200248589606978,0.6384016609848868,-0.0999839431966501,0.9468195547561832,0.6562294610909819,1.03827903895601,-1.5662734249141828,-0.8523905089070752,1.346314340082463,-0.5790729679027411,-0.0243580271046674,-0.6786395083752037,-0.1912017372419155,-0.6649654251870354,1.0776159111923775,-0.9692828178992344,0.5376232273532571,0.643037991327099,-0.5132094550639186,0.2127199701182446,0.646119354140181,-0.086235549334806,1.2830788938214066,0.7807285504550296,0.9016555484612256,-1.4018794386169868,-0.5955028327588725,1.9526761783226376,-0.2471145276876465,0.3397465912798996,-0.693888666488711,-0.1203355560904314,-0.4681950449561183,1.129806195762228,-0.8360230999910121,0.5261304307201031,-0.3693607554757049,-2.0079319102835,-0.7923288066967882,0.7405955114130653,-0.0833996613475171,0.0160940534094856,-0.3703643683227363,-0.167427675502498,-1.0655219237872342,-0.7044250828546365,-0.4901832290865965,-0.6439063477054606,0.097547787951629,-0.5527707983925667,0.5117663157191591,-0.5780993391997045,0.1996373523761718,-0.2562223006961048,False,False,False,Other EU country,other
EE,2020,-2.9,-0.6,6.9,30.5,83.2,1.73,6.2,30.069,8.5,19.1,2.4,6.2,0.6,0.0,0.7,6.5,6.3,14.5,44.7,covid_transition,False,True,False,Estonia,2,False,-1.5083878405902027,-0.9565521391574012,-0.1021187428150116,0.2200248589606978,0.6712981469350169,0.0569458721459125,1.2199892214890449,0.5215869069404195,0.1483255769937158,-1.300444548154601,-0.0810302398990964,1.8440768119577595,0.3619659868332488,-0.0243580271046674,-0.6786395083752037,-0.1912017372419155,0.0089438577676084,1.3829927816527248,-0.5436478962827644,0.3261538993827364,-0.9975253372553567,-0.0366710549493201,0.2877049283493291,0.6229502575501707,-0.0280867679120215,1.263388095594144,0.4973679013734941,0.3549591725443942,-1.2672692809152326,-0.604734262108873,1.7222436296025998,-0.5022674430027294,0.1344438631571508,-0.769800358919501,-0.2253079504834567,-0.4830668851135459,1.1816779848604106,-0.7810301157026045,-1.4394134425361311,-0.9027115559136524,0.5736948315095709,-0.7923288066967882,1.2633688135869925,0.435531564814812,0.4023513352371628,-0.6521885490285771,-0.8765331246895488,0.6337051441471446,1.5179864461515429,-0.0490183229086595,2.299665527519499,0.097547787951629,-0.5527707983925667,0.5117663157191591,1.296817436583119,1.0980054380689477,1.7935561048727375,False,False,False,Other EU country,other
EE,2021,8.3,4.5,6.2,30.6,83.3,1.75,6.2,37.342,9.4,18.4,2.0,5.6,0.6,0.1,0.6,6.5,5.9,13.3,42.1,covid_transition,False,True,False,Estonia,2,False,1.5763945060811948,0.5206504353694116,-0.2823563371375375,0.2455395526984454,0.6822636422517264,0.0793644171948501,1.2199892214890449,1.1111445808338805,0.4820581252295762,-1.318868331692394,-0.4391617933670867,1.1803935161240309,0.0090763788072523,-0.0243580271046674,1.184743548519423,-0.5155439512020239,0.0089438577676084,0.9758236210389288,-0.8274045106937441,0.2911856903455564,1.39547152337208,-0.1508325234820894,0.2813543115233973,0.5901540700345,0.0138305905200844,1.033384709354701,1.017374398539571,0.579362279381951,-1.2975677345340004,-0.6435744497610159,1.3012572966447968,-0.5363329688394534,0.1701748883077133,1.1835004861314593,-0.5119587911896968,-0.5245635868439857,1.0143072208184032,-0.8531405850254579,1.8960549484441451,0.035250196580669,-0.1792796348467412,-0.7339978516025453,1.437626580978293,0.5096645971237163,0.4023513352371628,0.5818314788302901,-0.6106185812444047,0.5159369315180288,0.4861525219701021,-0.6372381978125757,1.1958260743101383,0.097547787951629,1.6583123951776997,-1.0235326314383182,1.296817436583119,-0.0998186761880859,0.427037167826844,False,False,False,Other EU country,other
EE,2022,-1.2,19.4,5.6,31.9,83.1,1.77,6.6,38.542,10.5,19.2,2.2,5.3,1.3,0.1,0.5,5.9,5.7,12.6,40.0,energy_geopolitical_transition,False,False,True,Estonia,3,False,-1.040161948684723,4.836399133496766,-0.4368457036997027,0.5772305712891588,0.6603326516183059,0.1017829622437877,1.4931588882219058,1.2084179492749851,0.8899534619622942,-1.2978125790777737,-0.7284218942450789,1.5122351640408955,-0.1673684252057455,1.1765986136211146,1.184743548519423,-0.8398861651621321,-0.3954017120051776,0.7722390407320304,-0.9929292024334824,-1.8371558195248137,2.343725518257309,-0.0658214770418087,0.7042290149661765,0.5389056945449054,0.0300401006929109,1.0834729827677962,1.0039275771560203,1.2822521960458668,-1.277494898121456,-0.6837605042770705,1.6276763134127978,-0.4257719203478876,0.0031212261885884,0.6878106924619187,-0.8249579113843056,-0.6149042092399236,1.0044710446929144,-0.9309211802708472,-0.933136990333768,2.77556982641702,-0.8246863202950093,0.0243045646225994,1.089111046195667,0.5837976294326205,0.7886086170648392,0.7854371482144018,-0.2856119170336732,0.6505291745227321,-0.3472518014072154,-0.3431282603606173,0.643906347705459,2.8288858505972527,1.6583123951776997,-2.558831578595796,0.1718673711134257,-0.6987307333166041,-0.3700988787832622,False,False,False,Other EU country,other
EE,2023,-2.7,9.1,6.4,31.8,82.5,1.83,6.7,40.95,8.0,20.2,3.1,4.9,0.7,0.1,0.7,6.2,6.3,13.5,43.1,energy_geopolitical_transition,False,False,True,Estonia,3,False,-1.453302441542499,1.85302922807987,-0.2308598816168158,0.551715877551412,0.5945396797180457,0.1690385973906004,1.5614513049051215,1.403613175280135,-0.0370813942484287,-1.271492888309498,-0.3014188881870905,3.0055225796667844,-0.4026281638897426,0.1472072072847299,1.184743548519423,-0.1912017372419155,-0.1932289271187846,1.3829927816527248,-0.7801117416252475,-1.4673818990999714,0.6459065313320896,0.2800016228566404,0.632286601763147,0.4869934982828654,0.0547627266015889,1.08161934084577,1.0530311713349283,0.4905709685383885,-1.268328028986196,-0.3355132362071564,2.44070470548384,-0.5308852507373788,-0.380912677210354,1.035287228614692,-0.2334680653241582,-0.3255858130276273,1.4247776687359677,-0.7477818614937791,-1.379851506982912,0.8812549145167237,0.035855926969348,-0.0340263904716413,0.0435644418478128,0.8061967263593333,0.8851729375217589,1.1940058581118518,-1.0242634266035178,0.8187694782786111,0.8830117235783483,0.9803664581731945,-0.0919866211007796,0.4877389397581466,1.6583123951776997,0.5117663157191591,0.7343424038482725,1.0980054380689477,0.6547903240011589,False,False,False,Other EU country,other
EE,2024,-0.1,3.7,7.6,30.8,81.6,1.99,7.2,42.232,7.5,23.5,3.7,4.6,0.4,0.0,0.7,6.3,6.3,13.8,44.0,energy_geopolitical_transition,False,False,True,Estonia,3,False,-0.7371922539223534,0.288932384463245,0.078118851507514,0.2965689401739397,0.4958502218676538,0.3483869577821007,1.9029133883211984,1.5075335572313813,-0.2224883654905733,-1.1846379087741892,-0.1774502735250941,4.001047523417378,-0.5790729679027411,-0.3674884958834623,-0.6786395083752037,-0.1912017372419155,-0.1258379988233204,1.3829927816527248,-0.7091725880225025,-1.1750320020931029,0.9385881173480028,0.8248604619821126,0.4566325849699652,0.3335034791882675,0.2283789523879372,1.3253482710148394,1.1070280021147607,0.3387794135803397,-1.218593988019702,-0.2717563982198729,2.710374924295712,-0.5138732024763185,-0.4871636956562186,-0.769800358919501,-0.2346107017251932,-0.3778413772845258,1.3374721355452663,-0.7289749920060146,-0.6055463447910622,-0.1118810587125578,1.326669297865882,-0.6173359414140617,-1.5247554646739931,1.3992609848305666,1.3679945398063549,1.4115245815705433,-1.1719937285174866,1.3739624806730122,1.2401850050257692,1.862696270529069,-0.6439063477054606,-0.682834515661406,-0.5527707983925667,0.5117663157191591,0.9218340814265544,1.0980054380689477,0.9964200582626332,False,False,False,Other EU country,other
EE,2025,0.6,4.8,7.5,30.9,82.0,1.99,6.8,42.232,7.5,24.1,3.7,4.6,0.4,0.0,0.7,6.3,6.3,13.8,44.0,energy_geopolitical_transition,False,False,True,Estonia,3,True,-0.5443933572553911,0.607544704459224,0.0523706237471532,0.3220836339116864,0.539712203134495,0.3483869577821007,1.6297437215883366,1.5075335572313813,-0.2224883654905733,-1.168846094313224,-0.1774502735250941,4.001047523417378,-0.5790729679027411,-0.3674884958834623,-0.6786395083752037,-0.1912017372419155,-0.1258379988233204,1.3829927816527248,-0.7091725880225025,-0.6629288697249996,1.455169766565792,0.7969317002680876,0.4983273938216089,0.3396786717300319,0.2283789523879372,0.9551409355724764,1.1070280021147607,0.3387794135803397,-1.2287768094971612,-0.2827737614950749,2.735426748699515,-0.5138732024763185,-0.4658528838232544,-0.769800358919501,-0.242861033271049,-0.3849501410593779,1.3289332425844222,-0.7318121885240233,-0.3970795703547948,0.0904244173156291,1.219101516957838,-0.5590049863198209,-0.8277243951087405,1.3992609848305666,0.9817372579786776,1.4115245815705433,-1.1719937285174866,1.47490666292654,1.2401850050257692,1.862696270529069,-0.6439063477054606,-0.682834515661406,-0.5527707983925667,0.5117663157191591,0.9218340814265544,1.0980054380689477,0.9964200582626332,False,False,False,Other EU country,other
